Name,SMILES,LOG_SOL,LOG_HLM,LOG_RLM,LOG_MDR1_ER,LOG_HPPB,LOG_RPPB,cluster,ds
Mol33,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.810232518,1.329092647,2.272106283,1.460944843,0.935859798,0.669595781,10,train
Mol34,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,1.761739954,2.758344821,1.705596867,0.968996327,0.231979027,10,train
Mol35,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.75089392,2.219660482,2.712971095,0.762732149,0.983851719,0.276231958,10,train
Mol36,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,1.553276046,2.728516916,3.056338375,1.555038433,0.276231958,0.123198075,10,train
Mol37,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,0.431363764,1.620136055,2.715512815,1.70079951,-0.073143291,-0.029188389,10,train
Mol38,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,,1.427680816,2.53699252,1.70375054,0.039414119,-0.139063379,12,test
Mol39,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,1.548389418,0.675686709,1.027920136,0.534421785,0.969089603,1.240049772,1365,train
Mol40,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,0.774516966,0.876967967,2.012702277,1.780905646,-0.397940009,-0.742321425,640,train
Mol41,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,1.399673721,2.57963614,3.177817186,0.285216624,-0.04431225,0.137354111,13,train
Mol42,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,1.653212514,0.909876818,1.572453363,1.666140136,0.262925469,0.611935625,1891,train
Mol43,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,1.465382851,2.601584178,3.213226004,0.353495036,0.545801757,0.460897843,1300,test
Mol44,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,1.527333397,1.710749017,3.329049083,-0.170444289,1.122707254,1.207445854,1530,train
Mol45,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,1.247359422,0.675686709,1.409628842,0.559004282,0.868232868,0.593618308,994,train
Mol46,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,1.522444234,1.034949147,1.847547983,-0.290190042,0.328379603,0.696793085,892,train
Mol47,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,1.601516784,1.543708051,2.012651661,1.322459871,0.956648579,0.846275242,10,train
Mol48,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,1.51851394,2.121697694,3.158486128,0.850877323,0.926290987,1.114444172,1754,train
Mol49,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.559308011,1.021644036,1.848847759,0.979002017,0.866877814,0.685562611,1328,train
Mol50,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,1.729974286,0.675686709,1.027920136,2.175835946,1.594922663,1.574609941,111,test
Mol51,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,1.722633923,1.878648159,2.804398773,-0.011565693,1.205461507,1.264227348,227,test
Mol52,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,1.376576957,2.885344821,3.182090951,0.047746542,-0.293282218,-0.590066877,10,train
Mol53,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,1.780317312,2.032792967,2.746011108,1.990864514,-0.204728421,-0.434152181,1389,train
Mol54,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1.614833965,0.675686709,2.077589539,1.61368751,1.991815076,1.747124255,72,train
Mol55,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,1.924795996,2.596224212,3.377908999,1.237227531,0.902546779,1.265713811,52,test
Mol56,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,1.761927838,1.609647759,2.808125186,2.027037834,0.596926814,0.549861188,13,train
Mol57,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,1.759667845,1.727004157,2.813429526,1.991058155,0.520483533,0.584331224,13,train
Mol58,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,1.710117365,0.675686709,1.387407625,0.468083204,1.543819805,1.433497815,455,test
Mol59,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,1.84260924,0.675686709,1.573811169,0.854190841,1.851001366,1.801527189,138,test
Mol60,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,1.793790385,0.777789187,1.442448411,0.925531892,1.78096503,1.950724994,138,test
Mol61,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,1.645422269,0.675686709,1.968889034,0.649112619,1.876996793,1.868168158,138,test
Mol62,C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,1.718667735,1.561387637,3.278679765,0.117165561,1.188253327,0.718335579,63,train
Mol63,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,1.716837723,0.993700695,3.037733185,0.867508889,1.106122874,1.180842415,1052,train
Mol64,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,1.361727836,2.347780667,3.158208351,-0.000772,-0.1837587,0.008174184,16,test
Mol65,OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,1.514149134,0.991226076,2.518683676,1.398610029,1.017826038,1.024690862,1543,train
Mol66,Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,1.260071388,2.372418541,3.077711934,0.106454501,-0.083019953,0.021602716,13,train
Mol67,OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,1.62324929,0.675686709,2.476100913,-0.280852879,1.390069186,1.484982782,131,train
Mol68,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,1.710117365,1.633670406,2.335620355,0.087945428,0.13481437,0.624282096,1372,train
Mol69,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,0.69019608,1.928436822,2.691249517,-0.607609727,0.505149978,0.571825249,181,train
Mol70,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,1.824125834,3.096213889,3.588207258,0.12433539,-0.222573178,0.142389466,451,train
Mol71,COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,1.653212514,2.24496946,3.293540435,0.130584805,0.595385981,0.594060901,505,test
Mol72,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,1.372175286,0.675686709,1.719090867,1.77253534,0.741821047,0.966376423,1712,test
Mol73,OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,1.620136055,1.314330783,3.346903123,-0.14983847,1.368007805,1.394924244,131,train
Mol74,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,0.880813592,0.675686709,1.470307565,1.256879427,0.623352682,0.38219721,1386,test
Mol75,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1.11058971,1.281601444,1.617409267,1.329007553,1.199947058,1.241969612,461,train
Mol76,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,1.651278014,0.675686709,1.788882177,0.297621812,0.193402903,1.077985291,1737,train
Mol77,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,1.155336037,2.572128951,2.761852694,0.962266995,0.615318657,0.86254877,13,train
Mol78,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,0.45484486,0.713490543,1.659098158,-0.225885144,0.449015316,0.069298012,754,train
Mol79,O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,0.662757832,2.186163547,2.9013079,0.497484847,0.526080692,0.630427875,1208,train
Mol80,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.780605306,1.074597045,2.014996993,0.645450703,1.892077899,1.844321821,244,train
Mol81,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,1.456366033,1.209407768,2.516764029,1.342645173,0.146128036,-0.208309351,12,test
Mol82,CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,1.409764104,1.917836225,3.159066443,-0.38705313,1.249124949,1.071845201,131,train
Mol83,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,1.673020907,0.675686709,1.28688292,2.133442088,1.681349797,1.601853652,539,train
Mol84,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,1.82672252,0.857242009,2.243926822,1.797731012,0.975753389,0.876910311,84,test
Mol85,CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,0.819543936,1.676446677,2.771252261,,-0.853871964,-0.266802735,795,test
Mol86,NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,1.480006943,0.957559402,1.697299103,,0.699837726,0.686814955,543,train
Mol87,Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,1.702430536,1.503858749,3.038396003,,1.237065953,1.192985379,69,test
Mol88,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.720159303,1.177074546,2.199853869,,-0.580044252,-0.341988603,1163,test
Mol89,COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,1.607455023,1.998886781,2.255957185,,1.504729052,1.58945809,84,test
Mol90,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,1.759667845,2.398082434,2.949896713,,1.10503305,0.715167358,23,test
Mol91,Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,,1.208387604,2.088001348,1.439027359,1.652285029,1.579154557,227,test
Mol92,Cc1nc(Nc2nccs2)cc(C2CN(c3ncccn3)C2)n1,,1.481858091,1.870152152,0.161092639,0.444669231,0.374565061,12,test
Mol93,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1Cl,,1.724816353,2.759158477,0.510221561,-0.033858267,0.115943177,295,train
Mol94,COc1ccc(CCCN2CCN(c3cnn(C)c3)C(=O)C2)cc1F,,0.675686709,1.644537058,-0.134166202,1.343408594,1.308414999,552,train
Mol95,Cc1noc(C(C)C)c1C(=O)N1CC(C)OC(c2ccccc2)C1,,1.852187112,3.206827764,-0.025704041,1.180469962,1.111934276,63,train
Mol96,CN(Cc1ccccc1)C1(C(=O)N2CCNC(=O)CC2)Cc2ccccc2C1,,2.052682402,3.440209084,0.937779221,0.904931827,0.912806393,29,test
Mol97,Cc1c(F)cccc1NC(=O)CN1[C@H]2CCCC(=O)N[C@@]2(C)C[C@H]1Cc1ccccc1,,2.426639741,3.037958084,1.093363726,0.595275712,0.925312092,98,train
Mol98,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,,1.28427278,2.484587375,1.836054283,-1.180456064,-1.638272164,100,test
Mol99,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,,0.675686709,2.280027186,0.91525315,1.850223373,1.990813743,244,train
Mol100,Cc1ccc(NC(=O)CN2[C@H]3CCCC(=O)N[C@@]3(C)C[C@H]2Cc2ccccc2)cc1F,,2.698323293,3.521284437,1.092925581,-0.137272472,0.360971884,98,train
Mol101,CN(C)C(=O)C1(Cc2ccccc2-c2cccc(F)c2)CCN(C(=O)C2CC=CCC2)CC1,,2.998834093,3.432739262,0.164553862,-0.104025268,0.142702246,52,test
Mol102,COCC(=O)N1CCC(Cc2ccccc2-c2cccc(F)c2)(C(=O)NC(C)C)CC1,,2.172170757,2.757490166,1.519214154,0.596597096,1.076967952,23,test
Mol103,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,,1.644123341,2.746921299,-0.413757799,-0.356547324,-0.18243463,38,train
Mol104,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,,1.842771446,2.495928511,-0.095595312,0.671265433,0.850278553,1422,test
Mol105,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,,0.675686709,1.578593372,1.386464306,0.850401148,0.581038949,524,train
Mol106,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,,0.675686709,1.027920136,2.281582606,0.01745073,-0.204119983,100,test
Mol107,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,,2.35761091,2.878798599,0.184537071,1.021602716,0.918868743,16,test
Mol108,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,,2.447729993,2.992100431,0.121230488,0.829753919,0.531095547,23,test
Mol109,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,,0.675686709,1.150111425,0.118767305,2.0,1.923109252,845,train
Mol110,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,,1.804466564,2.602536368,1.682172588,1.277998644,1.348966512,98,train
Mol111,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,,1.581926914,2.339360001,1.457674686,0.106870544,-0.063486258,1218,train
Mol112,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,,1.860308054,2.514890272,0.759772791,-0.122628654,0.275311355,13,train
Mol113,COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,,2.325244658,3.302756139,0.385070919,1.167051359,1.25166255,1134,train
Mol114,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,,0.926496789,1.659202877,0.526412693,1.323066376,1.284633733,244,train
Mol115,Cc1oc2ccccc2c1CNc1nnc(-c2ccncc2)o1,,1.523538372,2.149366932,0.009096206,0.717254313,-0.172630727,722,train
Mol116,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,,1.578982843,2.73638694,1.113887252,1.222560409,1.091666958,18,test
Mol117,C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,,1.867909218,3.033483668,-0.074406716,0.224014811,0.360404055,1291,train
Mol118,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,2.005819468,3.082243061,0.839066386,0.862608364,0.780605306,930,train
Mol119,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,,1.47950333,1.880241776,0.466763826,0.369957607,0.847634344,1467,test
Mol120,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,,0.675686709,1.915521189,1.970451844,1.560468571,1.491417728,1889,train
Mol121,CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,,1.554695053,2.743158424,0.717768559,1.573185017,1.555686814,63,train
Mol122,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,,0.675686709,1.027920136,0.250979855,0.439332694,0.440121603,177,test
Mol123,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,,0.734719842,1.994000227,1.426521873,1.642246824,1.632416797,4,train
Mol124,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,,1.953648568,2.765263869,0.172627701,0.180699201,0.637289548,4,train
Mol125,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,,2.666523596,3.097606757,1.39985037,1.041353202,1.146840934,52,test
Mol126,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,,1.775384687,2.392746182,0.528688647,1.159236233,0.944630702,788,test
Mol127,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,,2.095078646,2.827400293,1.859838654,1.078638038,0.915558115,526,train
Mol128,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,,2.649622021,2.747637831,-0.017278025,0.387567779,0.273695588,16,test
Mol129,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1,,0.675686709,1.027920136,,2.0,2.0,4,train
Mol130,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,,0.675686709,1.180527283,,0.969835093,0.628286731,177,test
Mol131,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,,1.881806762,3.058701926,,1.062130535,0.953856298,4,train
Mol132,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,,1.342679234,2.187091855,,0.994317153,0.650307523,295,train
Mol133,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,,2.209624915,3.188084374,,-0.370590401,-0.185752404,38,train
Mol134,COCCNC(=O)c1ccnc(C2CCNCC2)c1,,0.675686709,1.206123964,,2.0,2.0,95,test
Mol135,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,,0.989894564,2.123093413,,0.245512668,0.452093249,38,train
Mol136,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1,,0.675686709,1.32842038,,1.988550039,1.960042456,826,train
Mol137,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,,0.964165311,2.519927699,,2.0,1.861522463,440,train
Mol138,O=C1NCCSc2c1sc1ccc(O)cc21,,1.688642252,1.978326627,,0.891593204,1.164679941,893,train
Mol139,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,,0.940516485,2.048927103,,0.427486109,0.426673888,843,test
Mol140,CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,1.596926814,0.894224095,1.247948729,0.297773947,,,52,test
Mol141,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,,0.675686709,1.027920136,0.089413622,,,770,train
Mol142,CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,,1.317394675,1.958473097,1.464313643,,,846,test
Mol143,O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,1.630936119,2.019872011,3.144807014,,,,997,train
Mol144,O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,0.568201724,1.528543921,2.445191505,0.007590191,,,1863,train
Mol145,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,,1.202869588,1.856221212,1.945609035,,,1224,test
Mol146,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,,2.003348497,2.800315583,-0.030142068,,,1098,train
Mol147,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,0.439332694,1.781252594,1.407560849,0.455588856,,,751,train
Mol148,O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,0.041392685,0.675686709,1.598024072,0.370992271,,,1337,train
Mol149,COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,1.660865478,0.76930346,2.296616933,0.585698536,,,295,train
Mol150,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,,0.675686709,1.027920136,1.583412111,,,38,train
Mol151,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,,0.988068203,1.559511632,1.595322614,,,525,train
Mol152,O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,,0.675686709,1.027920136,0.612920322,,,1395,train
