inchi_key,dataset,provided_split,hlm_clint,mdr1_mdck_er,plasma_protein_binding_human,plasma_protein_binding_rat,rlm_clint,solubility_ph_6_8,is_benchmark
BFYIZQONLCFLEV-GPEJODLCSA-N,pcba,,,,,,,,False
BFYIZQONLCFLEV-ZGMAETJZSA-N,pcba,,,,,,,,False
BFYIZQONLCFLEV-WKKSIBQESA-N,pcba,,,,,,,,False
BFYIZQONLCFLEV-WVPQZDDBSA-N,pcba,,,,,,,,False
BFYIZQONLCFLEV-OPOMMLRYSA-N,pcba,,,,,,,,False
LOUPRKONTZGTKE-RYMBOPBQSA-O,pcba,,,,,,,,False
LOUPRKONTZGTKE-ILWKUFEGSA-O,pcba,,,,,,,,False
VWAUPFMBXBWEQY-IVAOSVALSA-N,pcba,,,,,,,,False
ZMQSLMZOWVGBSM-JSGCOSHPSA-N,pcba,,,,,,,,False
IQCKJUKAQJINMK-HWKXNMGXSA-N,pcba,,,,,,,,False
LXFOLMYKSYSZQS-VMQDJISUSA-N,pcba,,,,,,,,False
DRIMIUYGTDAQOX-QGZVFWFLSA-O,pcba,,,,,,,,False
PKXWXXPNHIWQHW-KCXAZCMYSA-N,pcba,,,,,,,,False
TXGZJQLMVSIZEI-NDYVAMGQSA-M,pcba,,,,,,,,False
IKBKZGMPCYNSLU-JAIQZWGSSA-O,pcba,,,,,,,,False
WIKGAEMMNQTUGL-JTQLQIEISA-N,pcba,,,,,,,,False
QLUYMIVVAYRECT-GXTWGEPZSA-N,pcba,,,,,,,,False
HUJXGQILHAUCCV-UYAYXHRUSA-N,pcba,,,,,,,,False
HUJXGQILHAUCCV-KYZVSKTDSA-N,pcba,,,,,,,,False
HUJXGQILHAUCCV-UHQDVWGKSA-N,pcba,,,,,,,,False
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,pcba,,,,,,,,False
WPTTVJLTNAWYAO-KAHYZQDXSA-N,pcba,,,,,,,,False
YJGVMLPVUAXIQN-UOWJPWOOSA-N,pcba,,,,,,,,False
GSCZTLGLYFMIST-AJFISWQDSA-O,pcba,,,,,,,,False
PNCPYILNMDWPEY-KRWDZBQOSA-O,pcba,,,,,,,,False
AZFLJNIPTRTECV-ZGXWSNOMSA-N,pcba,,,,,,,,False
YBHKBMJREUZHOV-KRWDZBQOSA-N,pcba,,,,,,,,False
UDNNLEQKNPVZON-UHFFFAOYSA-O,pcba,,,,,,,,False
HFNKQEVNSGCOJV-HNNXBMFYSA-N,pcba,,,,,,,,False
SQFDBQCBXUWICP-OAHLLOKOSA-N,pcba,,,,,,,,False
MPUQHZXIXSTTDU-OSGQAZFXSA-N,pcba,,,,,,,,False
MPUQHZXIXSTTDU-SFUIVIKGSA-N,pcba,,,,,,,,False
MPUQHZXIXSTTDU-QGWWYQLQSA-N,pcba,,,,,,,,False
OMKHWTRUYNAGFG-IEBDPFPHSA-N,pcba,,,,,,,,False
INAICWLVUAKEPB-VFDMCBIDSA-N,pcba,,,,,,,,False
KFGZVQJELATTCQ-SECBINFHSA-O,pcba,,,,,,,,False
BOZRFEQDOFSZBV-XZOQPEGZSA-M,pcba,,,,,,,,False
RCKYSTKYIVULEK-XMMPIXPASA-N,"chembl,pcba",,,,,,,,False
YNNUSGIPVFPVBX-SFTDATJTSA-O,chembl,,,,,,,,False
LOUPRKONTZGTKE-FOEVPDMQSA-O,"chembl,pcba,tdc",,,,,,,,False
IUBSYMUCCVWXPE-CQSZACIVSA-O,"chembl,pcba,tdc",,,,,,,,False
CBRJPFGIXUFMTM-GHMZBOCLSA-N,chembl,,,,,,,,False
VFIDUCMKNJIJTO-CJNGLKHVSA-O,"chembl,pcba,tdc",,,,,,,,False
ACNHBCIZLNNLRS-UCJCTAPLSA-N,"chembl,pcba",,,,,,,,False
SGUAFYQXFOLMHL-SCLBCKFNSA-O,"chembl,pcba,tdc",,,,,,,,False
QOTAQTRFJWLFCR-WJYNOGRTSA-N,"chembl,pcba,tdc",,,,,,,,False
SHZKQBHERIJWAO-WAYWQWQTSA-M,"chembl,pcba,tdc",,,,,,,,False
LOUPRKONTZGTKE-UYVJDWJCSA-O,"chembl,pcba,tdc",,,,,,,,False
MKJIEFSOBYUXJB-GDBMZVCRSA-O,"chembl,tdc",,,,,,,,False
ZWKJWVSEDISQIS-RUZDIDTESA-N,"chembl,pcba,tdc",,,,,,,,False
LOUPRKONTZGTKE-NIHZBZNOSA-O,"pcba,tdc",,,,,,,,False
PAZJSJFMUHDSTF-AWEZNQCLSA-O,tdc,,,,,,,,False
ACNHBCIZLNNLRS-UYBCJNFLSA-N,"pcba,tdc",,,,,,,,False
ACNHBCIZLNNLRS-KWSNMMCTSA-N,"pcba,tdc",,,,,,,,False
WXRGFPHDRFQODR-ICLZECGLSA-N,"pcba,tdc",,,,,,,,False
IQCKJUKAQJINMK-HUBRGWSESA-N,"pcba,tdc",,,,,,,,False
NKANXQFJJICGDU-OCEACIFDSA-O,"pcba,tdc",,,,,,,,False
UJLAWZDWDVHWOW-WCQYABFASA-N,"pcba,tdc",,,,,,,,False
FAEKWTJYAYMJKF-HSZRJFAPSA-M,"pcba,tdc",,,,,,,,False
JGEBLDKNWBUGRZ-FQEVSTJZSA-N,"pcba,tdc",,,,,,,,False
ZUXABONWMNSFBN-UHFFFAOYSA-O,tdc,,,,,,,,False
HUJXGQILHAUCCV-HNSFDTNUSA-N,"pcba,tdc",,,,,,,,False
HUJXGQILHAUCCV-WZTLGTBRSA-N,"pcba,tdc",,,,,,,,False
YJGVMLPVUAXIQN-BBLUDWJGSA-N,tdc,,,,,,,,False
YJGVMLPVUAXIQN-HOLAOCEGSA-N,"pcba,tdc",,,,,,,,False
DKYWVDODHFEZIM-LLVKDONJSA-M,"pcba,tdc",,,,,,,,False
UYNVMODNBIQBMV-KKSFZXQISA-O,"pcba,tdc",,,,,,,,False
UJLAWZDWDVHWOW-DGCLKSJQSA-N,"pcba,tdc",,,,,,,,False
SGUAFYQXFOLMHL-ACJLOTCBSA-O,tdc,,,,,,,,False
KTEIFNKAUNYNJU-LBPRGKRZSA-O,"pcba,tdc",,,,,,,,False
UYNVMODNBIQBMV-IERDGZPVSA-O,tdc,,,,,,,,False
VZZJRYRQSPEMTK-CALCHBBNSA-N,"pcba,tdc",,,,,,,,False
WDZVGELJXXEGPV-PQMHYQBVSA-O,"pcba,tdc",,,,,,,,False
VSQQQLOSPVPRAZ-QYNIQEEDSA-N,tdc,,,,,,,,False
RLAWWYSOJDYHDC-RCCFBDPRSA-M,"pcba,tdc",,,,,,,,False
RLAWWYSOJDYHDC-KSZLIROESA-M,"pcba,tdc",,,,,,,,False
MKUXAQIIEYXACX-UHFFFAOYSA-M,tdc,,,,,,,,False
OIRDTQYFTABQOQ-SXVXDFOESA-N,"pcba,tdc",,,,,,,,False
OIRDTQYFTABQOQ-FCIPNVEPSA-N,"pcba,tdc",,,,,,,,False
UWKQSNNFCGGAFS-MGBGTMOVSA-O,"pcba,tdc",,,,,,,,False
OIRDTQYFTABQOQ-KMPDEGCQSA-N,"pcba,tdc",,,,,,,,False
IKNOZZKXIDSTRN-GPOMZPHUSA-O,"pcba,tdc",,,,,,,,False
VWAUPFMBXBWEQY-WOZUAGRISA-N,"pcba,tdc",,,,,,,,False
PPAIMZHKIXDJRN-FMDGEEDCSA-O,pcba,,,,,,,,False
OIRDTQYFTABQOQ-GAWUUDPSSA-N,pcba,,,,,,,,False
